,avg_7_mse,avg_mse,cols_drop,dropout,lag_size,n_drop
82,"[22.09913602 24.67955557 26.07696823 27.35957842 27.98490183 29.03359491
 30.0056782 ]",26.74848759831364,"['Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.4,16,6
83,"[22.22087656 24.75231395 26.23222645 27.54756591 28.20661285 29.33942793
 30.32444957]",26.9462104596048,"['Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.7000000000000001,16,6
84,"[23.77054458 26.03283023 27.11115532 28.05826458 28.41907249 29.30709845
 30.19967195]",27.5569482286019,"['Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.4,21,6
85,"[23.80953594 26.13669632 27.17820782 28.09207616 28.45428155 29.31849737
 30.18477508]",27.596295747496043,"['Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.1,21,6
86,"[23.78732003 26.01419076 27.15439338 28.12635262 28.63566005 29.53197301
 30.41823747]",27.666875330588766,"['Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.7000000000000001,21,6
87,"[24.36550986 26.47991017 27.61131341 28.65713984 29.17820774 30.01803985
 30.80719449]",28.159616481119595,"['Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.7000000000000001,26,6
88,"[24.49657045 26.62777037 27.69322838 28.68366126 29.21145522 30.04872567
 30.78150131]",28.220416094007664,"['Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.4,26,6
89,"[23.82756626 27.62190653 29.61102028 30.10456861 28.4140767  28.71855561
 29.60546535]",28.271879905730195,"['Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.7000000000000001,1,6
90,"[24.55396493 26.72918675 27.82515936 28.80402447 29.23650134 30.13189894
 30.81072439]",28.298780025232144,"['Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.1,26,6
91,"[24.23894191 27.88957036 29.96053657 30.55301592 29.2165881  29.43064384
 30.72347519]",28.858967412139375,"['Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.7000000000000001,1,3
92,"[24.68902295 28.50190658 30.48964992 30.93600322 29.13576317 29.42360963
 30.2446245 ]",29.06008285304858,"['Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.4,1,6
93,"[23.94972433 28.2125564  30.62968946 31.63388973 29.92403639 29.58568889
 30.74355289]",29.239876871164483,"['Sub_metering_2', 'Sub_metering_3']",0.7000000000000001,1,2
94,"[24.96782808 28.79036    30.75723913 31.1960876  29.35050903 29.63769174
 30.4650229 ]",29.309248355475184,"['Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.1,1,6
95,"[24.96723102 28.71045144 30.75599361 31.33938275 29.82504738 30.04487864
 31.29040506]",29.561912841782355,"['Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.4,1,3
96,"[24.64990489 28.70590604 30.83169541 31.92375129 30.39595335 30.30377054
 31.38447482]",29.742208048739354,['Sub_metering_3'],0.7000000000000001,1,1
97,"[25.26757649 28.98765141 31.01450197 31.62198886 30.05281244 30.3131756
 31.53302932]",29.827248012202578,"['Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.1,1,3
98,"[24.64356917 28.94587443 31.26173946 32.31849938 30.4706801  30.14593446
 31.21687915]",29.857596593458968,"['Sub_metering_2', 'Sub_metering_3']",0.4,1,2
99,"[24.79020478 29.1476163  31.47509199 32.50039686 30.63158008 30.27798088
 31.37728919]",30.028594298755092,"['Sub_metering_2', 'Sub_metering_3']",0.1,1,2
100,"[25.50554734 29.6405641  31.71928396 32.8254214  31.05585484 30.93164733
 32.03349746]",30.530259491796368,['Sub_metering_3'],0.4,1,1
101,"[25.58799101 29.72112187 31.83796585 32.90587128 31.11245508 31.03461673
 32.11516021]",30.61645457645836,['Sub_metering_3'],0.1,1,1
102,"[30.18835556 32.49278915 33.70248734 34.05358059 32.99548865 33.0175356
 33.86623986]",32.90235381993,"['Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.7000000000000001,1,4
103,"[29.00314112 32.82258883 34.70414643 35.16363404 33.77364388 34.33413905
 35.45282382]",33.60773102485797,"['Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.7000000000000001,1,5
104,"[31.22167704 33.500473   34.73231065 34.94823791 33.7913189  33.86083277
 34.64866758]",33.81478826395954,"['Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.4,1,4
105,"[31.39058077 33.73166966 34.95777799 35.21788378 34.02901293 33.98560331
 34.80647229]",34.017000104069616,"['Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.1,1,4
106,"[29.97423646 33.84044528 35.68289313 36.20616898 34.65842626 35.1554555
 36.2098731 ]",34.5324998136705,"['Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.4,1,5
107,"[30.30787944 34.17774165 36.02568416 36.4642621  34.90339776 35.40171042
 36.52627255]",34.82956401074755,"['Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.1,1,5
